Conference, Stage,Away Team,Home Team,Winning Team,Results
Eastern,First Round,Boston Celtics,Brooklyn Nets,Boston Celtics,(4-0)
Eastern,First Round,Miami Heat,Atlanta Hawks,Miami Heat,(4-1)
Eastern,First Round,Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,(4-1)
Eastern,First Round,Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,(4-2)
Western,First Round,Dallas Mavericks,Utah Jazz,Dallas Mavericks,(4-2)
Western,First Round,Golden State Warriors,Denver Nuggets,Golden State Warriors,(4-1)
Western,First Round,Memphis Grizzlies,Minnesota Timberwolves,Memphis Grizzlies,(4-2)
Western,First Round,Phoenix Suns,New Orleans Pelicans,Phoenix Suns,(4-2)
Eastern,Semifinals,Boston Celtics,Milwaukee Bucks,Boston Celtics,(4-3)
Eastern,Semifinals,Miami Heat,Philadelphia 76ers,Miami Heat,(4-2)
Western,Semifinals,Dallas Mavericks,Phoenix Suns,Dallas Mavericks,(4-3)
Western,Semifinals,Golden State Warriors,Memphis Grizzlies,Golden State Warriors,(4-2)
Eastern,Finals,Boston Celtics,Miami Heat,Boston Celtics,(4-3)
Western,Finals,Golden State Warriors,Dallas Mavericks,Golden State Warriors,(4-1)
Finals,Finals,Boston Celtics,Golden State Warriors,Uknown,(x-x)